nextJobOne,state,city,CaBRating,CaVRating,jobId,numJobs,nextJobTwo,CORating,company,SLRating,WLBRating,title,id
,MN,Apple Valley,4.1,4.1,66972,5,,3.4,Apple,3.5,3.3,Apple Genius,170
administrative assistant,MN,Apple Valley,4.1,4.1,10274,5,intern,3.4,Apple,3.5,3.3,Inventory Specialist,171
mobile developer,MN,Apple Valley,4.1,4.1,190122,3,software developer,3.4,Apple,3.5,3.3,IOS Developer,172
sales associate,MN,Apple Valley,4.1,4.1,50687,3,assistant manager,3.4,Apple,3.5,3.3,Retail Sales Representative,173
,MN,Apple Valley,4.1,4.1,53405,3,,3.4,Apple,3.5,3.3,User Experience Architect,174
,MN,Apple Valley,4.1,4.1,8558,3,,3.4,Apple,3.5,3.3,.NET Developer,175
,MN,Apple Valley,4.1,4.1,13495,3,,3.4,Apple,3.5,3.3,Membership Sales Representative,176
account executive,MN,Apple Valley,4.1,4.1,50274,3,account manager,3.4,Apple,3.5,3.3,Retail Sales Associate,177
rn case mgr,MN,Apple Valley,4.1,4.1,157863,3,principal credentialed optime trainer,3.4,Apple,3.5,3.3,RN Consultant,178
,MN,Apple Valley,4.1,4.1,82046,3,,3.4,Apple,3.5,3.3,Counselor Student Support Services,179
business manager,MN,Apple Valley,4.1,4.1,41297,2,physician assistant primary care,3.4,Apple,3.5,3.3,Physician Assistant,180
,MN,Apple Valley,4.1,4.1,186049,2,,3.4,Apple,3.5,3.3,Part Time Administrative Assistant,181
technical support analyst,MN,Apple Valley,4.1,4.1,10944,2,account,3.4,Apple,3.5,3.3,IT Support Specialist,182
adult nurse practitioner,MN,Apple Valley,4.1,4.1,52998,2,clinical instructor,3.4,Apple,3.5,3.3,Nurse Practitioner,183
project manager,CA,Los Angeles,4.1,4.1,62619,19,business development manager,3.4,Apple,3.5,3.3,Business Specialist,184
customer service representative,CA,Los Angeles,4.1,4.1,34413,18,customer service,3.4,Apple,3.5,3.3,Host,185
prep cook,CA,Los Angeles,4.1,4.1,45091,18,lead cook,3.4,Apple,3.5,3.3,Cook,186
manager,CA,Los Angeles,4.1,4.1,11520,18,,3.4,Apple,3.5,3.3,Server,187
customer service representative,CA,Los Angeles,4.1,4.1,35961,18,customer service rep,3.4,Apple,3.5,3.3,Service Specialist,188
,CA,Los Angeles,4.1,4.1,21392,17,,3.4,Apple,3.5,3.3,Genius,189
,CA,Los Angeles,4.1,4.1,9245,17,,3.4,Apple,3.5,3.3,Apple Expert,190
,CA,Los Angeles,4.1,4.1,9259,17,,3.4,Apple,3.5,3.3,Apple Specialist,191
,CA,Los Angeles,4.1,4.1,160696,17,,3.4,Apple,3.5,3.3,Apple Creative,192
analyst,CA,Los Angeles,4.1,4.1,30663,17,senior analyst,3.4,Apple,3.5,3.3,Specialist,193
,CA,Los Angeles,4.1,4.1,605825,17,,3.4,Apple,3.5,3.3,Apple Business Specialist,194
,CA,Los Angeles,4.1,4.1,59883,17,,3.4,Apple,3.5,3.3,Creative,195
manager,CA,Los Angeles,4.1,4.1,30513,17,senior systems engineer,3.4,Apple,3.5,3.3,Solutions Engineer,196
business analyst,CA,Los Angeles,4.1,4.1,31973,17,contractor,3.4,Apple,3.5,3.3,Expert,197
,CA,Los Angeles,4.1,4.1,66972,17,,3.4,Apple,3.5,3.3,Apple Genius,198
administrative assistant,CA,Los Angeles,4.1,4.1,10274,17,intern,3.4,Apple,3.5,3.3,Inventory Specialist,199
busser,CA,Los Angeles,4.1,4.1,56739,7,security officer,3.4,Apple,3.5,3.3,Checker,200
maintenance worker,CA,Los Angeles,4.1,4.1,36829,5,restaurant manager,3.4,Apple,3.5,3.3,Produce Clerk,201
consultant,CA,Los Angeles,4.1,4.1,825907,5,senior designer,3.4,Apple,3.5,3.3,UX Designer,202
,CA,Los Angeles,4.1,4.1,24587,5,,3.4,Apple,3.5,3.3,ASSISTANT PURCHASING MANAGER,203
manager,CA,Los Angeles,4.1,4.1,50838,4,,3.4,Apple,3.5,3.3,Sales Associate,204
,CA,Los Angeles,4.1,4.1,508231,4,,3.4,Apple,3.5,3.3,Customer Service/Smartphone Technician,205
truck driver,CA,Los Angeles,4.1,4.1,27030,4,warehouse supervisor,3.4,Apple,3.5,3.3,Forklift Operator,206
,CA,Los Angeles,4.1,4.1,213919,3,,3.4,Apple,3.5,3.3,Ios Software Engineer,207
mobile developer,CA,Los Angeles,4.1,4.1,190122,3,software developer,3.4,Apple,3.5,3.3,IOS Developer,208
,CA,Los Angeles,4.1,4.1,185318,3,,3.4,Apple,3.5,3.3,Service Deli Clerk,209
